il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB PARTİ,ABP,AK PARTİ,BTP,BÜYÜK BİRLİK,CHP,DEVA PARTİSİ,DP,DSP,EMEP,GELECEK PARTİSİ,HÜDA PAR,MEMLEKET,MİLLET,OCAK,SAADET,TKP,URAS KARADENİZ,VATAN PARTİSİ,YENİDEN REFAH,YTP,ZAFER PARTİSİ,ÜMİT DEMİR,İYİ PARTİ
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2,500,0.0,0.0,0.9398953449296699,0.0,0.008001152165911891,0.9197484437759038,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.008001152165911891,0.0,0.0,0.0,0.04424637147749276,0.0,0.056104078987374184,0.008097165991902834,0.008001152165911891
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,79,20654,0.041990347795081207,0.02841549485796535,35.709053666778665,0.10270895680797314,1.051542604790621,32.80533229254508,0.2277579325399599,0.06939093296406279,0.07425598592316845,0.09137513620308767,0.08818280003050606,0.13561512165305534,0.3262777354844025,0.015215432487854764,0.027754598643864446,0.768938825123455,0.14146893782501402,0.07108189043832092,0.0916266069970554,2.959022596954969,0.041706570962962354,3.0703000176485022,0.2757829581679759,0.7852025563763929
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,59,15335,0.0345052542698555,0.08376089774023139,30.80242706713109,0.2229715192860472,0.57032204315765,19.41582329824502,0.09566766583654741,0.03417623874562835,0.05713395038398346,0.07689412620508383,0.023539236872444542,0.1338243148407013,0.18715327665386486,0.01118118743653582,0.00792156862745098,0.831243705998844,0.06945236781611093,0.0688799189135346,0.04928565176265053,3.714212283242292,0.026826618404780882,1.8083010027171318,0.15825516152194702,0.5162416441905745
İSTANBUL,PENDİK,ORTA MAH.,ORTA,8,1996,0.003968253968253968,0.0,3.7767111835826035,0.007195082497573601,0.10631542450661077,3.234364305172839,0.00864115116451565,0.003875968992248062,0.0,0.012199870025725614,0.0,0.00777053533707526,0.04004756762196391,0.0,0.0,0.068454507125286,0.007361000230031257,0.019630441596129117,0.00398406374501992,0.3167705309269613,0.02104214384424458,0.24969190936155583,0.01688857699875325,0.09508748330260973
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1497,0.01993285851194905,0.0,2.0681552160368204,0.015796188923578536,0.05994840346118313,3.243431980260231,0.007905138339920948,0.0041841004184100415,0.0,0.012216358482926171,0.0,0.0,0.015782101167315175,0.0,0.004032258064516129,0.083916145396667,0.008136669588370515,0.004,0.004032258064516129,0.2720645851475056,0.01621635848292617,0.1242983508329625,0.008,0.02795102882020182
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,1861,0.0036101083032490976,0.0038910505836575876,2.240006533902357,0.007370707207818651,0.09131309653517901,3.8350081145747166,0.019043858958791415,0.0035971223021582736,0.0035971223021582736,0.0038910505836575876,0.0185279853223885,0.0037735849056603774,0.022626690969730506,0.0,0.0,0.1160971777770704,0.0,0.003745318352059925,0.045406336359085454,0.3710812793752002,0.007488172885815861,0.13944659682483998,0.015495673487629069,0.04498241848677598
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,27,7575,0.0035714285714285713,0.0,8.614350134882114,0.02135989797782608,0.12311134406563772,16.215733033808405,0.04699216975648808,0.014718382201796276,0.010889633518420407,0.03553792929498152,0.0034602076124567475,0.031545563580112804,0.053567868485698694,0.0,0.0068612451453454164,0.17166974232955204,0.035469190181920934,0.0396699827068161,0.049023706843635474,0.41936542686955536,0.04590430829100033,0.7822866280693886,0.025004601754366293,0.24990757405305078
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,53,14259,0.10032936038521803,0.0700025795363834,21.659148863411733,0.05290665256262958,0.4927906846713648,25.424538151427917,0.1570311892668949,0.07666536020996935,0.052312039575518915,0.09134657352712527,0.04920317281290481,0.15821546303415976,0.18146690078758151,0.011097646410898106,0.018380515069867487,0.5010088310249827,0.06281335945917647,0.07052667007524886,0.0748240179292649,1.8833194137565497,0.045022264922847284,1.2219501653371672,0.16778002873559353,0.37732009606900085
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,86,22493,0.03064625089342147,0.11195702494778224,42.72778437728237,0.13585289035046577,2.0687966330915395,31.42316568818407,0.30765923031655273,0.05239999982779607,0.07696986031038414,0.06443013570963511,0.05294923717327508,0.18291730848137502,0.2750460863187341,0.030104609926738166,0.007615201557654864,1.056328144165646,0.1356297252226347,0.1539561785618082,0.07703719757772112,3.5585902073123457,0.06467616392459478,2.1903602616383275,0.5144088775453233,0.7007187096798069
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,29,7589,0.02272118065077657,0.036755305123079854,11.977956074814644,0.03806194778637646,0.3463197710492061,13.218929578809618,0.1066772864334734,0.09891331347379974,0.03030814514385616,0.01914049003298016,0.01542347166443552,0.026745842435379114,0.1502360236124268,0.007246376811594203,0.003861003861003861,0.39254846383756953,0.05217881173406663,0.04960925939502375,0.011432603344368051,1.073815512002603,0.03018608700364981,0.8474146611754083,0.17640320853726385,0.2671155812673968
İSTANBUL,PENDİK,YENİ MAH.,YENİ,37,10258,0.0035460992907801418,0.01101276931736035,10.762669939892152,0.024874619513471245,0.2268938663499226,23.271516370436917,0.046011165406171464,0.014785059901338972,0.007454606030318174,0.04331593967861723,0.007259552042160737,0.04712882597750828,0.08918204477305185,0.0036101083032490976,0.014836165860008778,0.1992885673568475,0.043574473895539485,0.02872501113539802,0.029139264077230862,0.6093297413943719,0.010602913428974136,1.1016803677471567,0.04633405961152546,0.3572284685799276
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,138,35865,0.01904365262289416,0.04489163574969802,43.1159269247302,0.17754946470970956,0.8474010436358282,80.55681528011014,0.42892494989564095,0.08483525170359744,0.054594966653782745,0.18893504388532298,0.23860075891753185,0.20361261528553884,0.484920727102517,0.030285938177908287,0.024150551717091642,0.9629221039828066,0.43536526715694973,0.0655838312421966,0.11926434701333016,2.8493122082478015,0.11946969425147033,4.9343854939152285,0.20164175561492131,1.811566493677878
İSTANBUL,PENDİK,YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,15,4201,0.0,0.003367003367003367,5.186125389777682,0.017739389042445756,0.06377418239883051,8.390380332222795,0.03315078374402829,0.039475912704936646,0.017871475315503114,0.014117475540377504,0.0,0.03186225562086472,0.049958673118740346,0.007168458781362007,0.0,0.17569146903598667,0.02830495288763106,0.017704469564258328,0.01065594193973324,0.340618735349477,0.021068527049239266,0.383581467610317,0.010679533726884292,0.15670357120190448
İSTANBUL,PENDİK,ÇAMLIK MAH.,ÇAMLIK,40,10702,0.0036496350364963502,0.003861003861003861,19.209805382413492,0.06020337798147191,0.3355836777522635,15.932793349633497,0.2540509616453006,0.022640663462971552,0.0146002094532445,0.06338110751460903,0.04764190737195604,0.10445726514282849,0.13557238775172495,0.0037735849056603774,0.003787878787878788,0.6062791824827528,0.06384928631171317,0.026642647752937124,0.033425348276801756,1.1281330328911756,0.02619860916180921,1.3475557970274052,0.108633854961819,0.4634798484191849
İSTANBUL,PENDİK,ÇAMÇEŞME MAH.,ÇAMÇEŞME,69,18301,0.026662589650690235,0.03093135102854362,39.7939864262231,0.10175920204956033,0.7706177012068033,19.26535508199925,0.14538023895094554,0.03400675607495803,0.03847080249768353,0.05222808117279621,0.030636238811625298,0.19605661335640626,0.23757277198628265,0.011681121148438858,0.0041841004184100415,1.2474930986798616,0.10510932466529532,0.07388962449333206,0.023252958997066288,3.7538860280193322,0.05605720770492918,2.193941286584435,0.1806733055035258,0.6261680887767317
İSTANBUL,PENDİK,ÇINARDERE MAH.,ÇINARDERE,46,12185,0.010923920310201899,0.0070807328871845005,20.601413787048422,0.07838671933121054,0.417309842983412,19.858572299132938,0.06759026086218986,0.01505606755335822,0.02200726122992381,0.046893495771859924,0.028061184983817537,0.04955689050867848,0.1631719124621315,0.015091571099754566,0.003703703703703704,0.38585970173821554,0.06969791088571074,0.07924012991267533,0.04176420250253346,1.5336117013773614,0.023223988013327743,1.6088199977782418,0.25962375812289934,0.6133389598002489
İSTANBUL,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ,41,11196,0.06249301426138209,0.018491459878321192,20.078125731138663,0.06954270098650629,0.5161775944669169,16.0763354659645,0.09922061579487076,0.036669793667165315,0.05503415859471666,0.03992498473618372,0.01409973130409349,0.08049333055780009,0.1083995092253984,0.011384307618617242,0.0038314176245210726,0.5364119699150677,0.06178959237618552,0.04421720633734546,0.028872002447897345,1.3772744517267517,0.018084521124404597,1.1718409552966305,0.1414845514648452,0.34980093349121466
