il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AK PARTİ,BBP,BTP,CHP,DP,DSP,HAK-PAR,HDP,HKP,KP,LDP,MHP,MİLLET,SAADET,SEÇKİN İLKER,VATAN PARTİSİ
İSTANBUL,PENDİK,FATİH MAH.,FATİH,38,12304,23.43277178133696,0.13903726374601835,0.030565150824119414,7.164186218549586,0.015558998960284395,0.009337323592576588,0.08721743931005935,3.660999842531856,0.0280542126506155,0.03994203529982632,0.02173691716005571,2.952729422619843,0.0029850746268656717,0.35800894544289785,0.006557377049180328,0.05031199629925511
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,69,22729,49.71872234806912,0.41952814685097267,0.07288309885220061,7.390345669683184,0.02538411719116341,0.01812033373351976,0.13603223421008429,2.6823221369806016,0.09768529530104163,0.061790428037826764,0.02460400457386697,7.218714554023395,0.015402195696399659,1.0362532633258605,0.009226073615508035,0.07298609985525183
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,2,639,1.752503085996434,0.006309148264984227,0.0,0.1066187275897878,0.0,0.0,0.021837098575543234,0.01562591845131963,0.0031545741324921135,0.0,0.0,0.09084585692732723,0.0,0.003105590062111801,0.0,0.0
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,25,8038,16.318792075033116,0.13602685242159832,0.04196177409967383,4.949065897652765,0.015413942288409477,0.012270329324400225,0.07268159309239984,1.059247479228805,0.02790866768758163,0.021988370375251937,0.015761152650777915,2.032037428776719,0.006506972512008803,0.26549470565947797,0.0,0.024842759197016673
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,63,20503,36.28637491841429,0.3111918967527388,0.0729593890890351,15.296763948025916,0.018812044126130915,0.04238521486196956,0.15806771099948264,2.9466292795309013,0.052430084918805686,0.0365901270738499,0.0277162954498237,6.972896757189374,0.02442502372043288,0.5863321079651489,0.012112722012189133,0.1543124798699098
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,14,4527,5.946954945862669,0.05044430021394508,0.01568014641468211,5.398369444227314,0.009132678040146124,0.015776030965719844,0.030996928365558753,0.8395716189398491,0.0,0.01496122988660302,0.009084676665025377,1.5153899703863827,0.0,0.12254269768191312,0.006296332905011367,0.024798999445180603
İSTANBUL,PENDİK,KARTAL AÇIK CEZA İNFAZ KURUMU,KARTAL AÇIK CEZA İNFAZ KURUMU,1,13,0.3076923076923077,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,30,0.23333333333333334,0.03333333333333333,0.0,0.23333333333333334,0.0,0.0,0.0,0.36666666666666664,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,104,34739,62.69510425101837,0.3633603755764747,0.09794195585900203,19.581980968220588,0.039000337741607397,0.06063096462699344,0.23796968537889782,11.912588419676052,0.10479244216033556,0.12310725812450704,0.06503331671079926,7.513699889667934,0.015004048538855546,1.0427655366682755,0.024226226667355775,0.12279432336395495
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,93,30184,54.169567215295146,0.4322639655530479,0.08020791731867291,19.0959895877644,0.0525614088754376,0.046223104089533215,0.11160979672160536,5.481239828359554,0.0839153171562456,0.07685364758811339,0.04697114359223416,12.04764319508621,0.018270565499640685,1.0337604988805704,0.021007935652670343,0.20191487256692037
